task_name,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,intent_entropy_gap,process_gap_score
install-windows-3.11,openhands,terminus-3-3,70,10,0.0,0.0,0.0,83.0571,117.3,34.2429,0.0048,0.2197,0.4739,42.2249
overfull-hbox,claude-code,deepagent-harbor,35,5,0.3714,0.4,0.0286,41.6571,10.2,31.4571,0.1133,0.3133,0.0171,42.2076
chess-best-move,judy,terminus-3-3,5,10,0.8,0.8,0.0,5.6,24.4,18.8,0.4889,0.3095,0.6831,42.1755
build-pov-ray,gemini-cli,terminus-3-3,18,10,0.8333,0.9,0.0667,18.7222,48.8,30.0778,0.2549,0.1277,0.5017,42.1513
build-pov-ray,gemini-cli,judy,18,5,0.8333,0.8,0.0333,18.7222,34.0,15.2778,0.1191,0.6259,1.6125,41.9653
caffe-cifar-10,judy,mini-swe-agent,5,75,0.0,0.0,0.0,11.8,25.3067,13.5067,0.1724,0.7851,0.8881,41.8847
sanitize-git-repo,deepagent-harbor,terminus-3-3,5,10,0.8,0.8,0.0,54.0,29.9,24.1,0.0323,0.4706,0.9902,41.6235
gpt2-codegolf,gemini-cli,terminus-2,20,195,0.0,0.0,0.0,1.95,24.9128,22.9628,0.403,0.0483,1.4753,41.6218
gpt2-codegolf,claude-code,terminus-3-3,35,10,0.0,0.0,0.0,20.6,36.7,16.1,0.5787,0.2484,0.9616,41.5855
dna-assembly,deepagent-harbor,gemini-cli,4,20,0.0,0.05,0.05,28.75,5.85,22.9,0.3981,0.1805,0.8333,41.5315
qemu-startup,deepagent-harbor,judy,5,5,1.0,1.0,0.0,2.0,13.2,11.2,0.1564,0.8631,0.9622,41.4985
dna-assembly,deepagent-harbor,judy,4,5,0.0,0.0,0.0,28.75,11.6,17.15,0.2416,0.6446,0.4063,41.3365
adaptive-rejection-sampler,codex,terminus-2,37,205,0.3514,0.2634,0.088,1.8378,34.2098,32.372,0.0553,0.182,0.6058,41.3335
filter-js-from-html,codex,terminus-3-3,40,10,0.0,0.0,0.0,0.95,27.5,26.55,0.1362,0.138,1.5681,41.2455
raman-fitting,openhands,terminus-2,70,194,0.0,0.0,0.0,42.5714,15.9227,26.6487,0.1454,0.42,0.0539,41.0532
raman-fitting,gemini-cli,terminus-3-3,20,10,0.0,0.0,0.0,5.3,25.7,20.4,0.4919,0.2829,0.2384,40.962
modernize-scientific-stack,deepagent-harbor,openhands,5,70,1.0,0.9286,0.0714,10.0,29.7429,19.7429,0.1962,0.5942,0.2895,40.9504
gpt2-codegolf,codex,terminus-2,40,195,0.0,0.0,0.0,0.875,24.9128,24.0378,0.2354,0.1811,1.2876,40.8883
pypi-server,judy,terminus-3-3,5,10,1.0,1.0,0.0,6.6,18.4,11.8,0.2523,0.6281,1.4087,40.8535
sam-cell-seg,codex,judy,40,5,0.0,0.0,0.0,1.325,16.2,14.875,0.2181,0.8102,0.0427,40.796
headless-terminal,codex,judy,40,5,0.825,0.8,0.025,1.975,13.4,11.425,0.4537,0.6665,0.2658,40.759
sam-cell-seg,claude-code,codex,35,40,0.0,0.0,0.0,23.6286,1.325,22.3036,0.2862,0.2325,1.0926,40.7341
fix-git,gemini-cli,judy,20,5,0.9,1.0,0.1,6.55,22.0,15.45,0.2009,0.7155,0.4488,40.604
protein-assembly,openhands,terminus-2,70,194,0.0429,0.0979,0.055,52.1,32.366,19.734,0.1772,0.6111,0.2215,40.549
gpt2-codegolf,claude-code,openhands,35,70,0.0,0.0,0.0,20.6,43.9143,23.3143,0.2938,0.2361,0.7687,40.4053
db-wal-recovery,claude-code,openhands,35,69,0.0,0.029,0.029,42.7143,70.2754,27.5611,0.0455,0.4494,0.0868,40.3676
make-mips-interpreter,codex,judy,40,5,0.075,0.0,0.075,6.15,22.2,16.05,0.0993,0.7378,0.6755,40.355
fix-git,mini-swe-agent,openhands,75,69,0.8,0.8841,0.0841,9.4267,33.1594,23.7327,0.1777,0.4582,0.125,40.2552
tune-mjcf,claude-code,gemini-cli,35,20,0.4,0.5,0.1,40.4857,14.55,25.9357,0.2195,0.2897,0.3103,40.2172
mteb-leaderboard,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,35.2571,16.16,19.0971,0.0576,0.569,1.0899,40.2116
mteb-retrieve,judy,openhands,5,69,0.0,0.029,0.029,16.0,43.7101,27.7101,0.2226,0.1192,0.7898,40.2041
write-compressor,codex,terminus-2,40,194,0.075,0.0876,0.0126,4.175,38.4381,34.2631,0.0159,0.1571,0.323,40.2031
torch-pipeline-parallelism,deepagent-harbor,gemini-cli,5,20,0.0,0.0,0.0,8.8,0.4,8.4,0.5386,0.3602,1.863,40.185
financial-document-processor,codex,gemini-cli,40,20,0.45,0.4,0.05,6.1,14.85,8.75,0.868,0.3645,0.1163,40.144
prove-plus-comm,mini-swe-agent,openhands,75,70,0.8,0.8286,0.0286,8.12,26.8571,18.7371,0.3407,0.4192,0.478,40.1246
model-extraction-relu-logits,gemini-cli,terminus-2,20,194,0.05,0.1082,0.0582,2.15,16.9536,14.8036,0.8016,0.1199,0.4547,40.1146
mteb-retrieve,gemini-cli,judy,20,5,0.1,0.0,0.1,2.8,16.0,13.2,0.4681,0.548,0.2953,40.079
filter-js-from-html,codex,deepagent-harbor,40,5,0.0,0.0,0.0,0.95,21.4,20.45,0.4461,0.1194,1.0978,40.0765
git-multibranch,claude-code,codex,35,40,0.8,0.75,0.05,31.3429,5.875,25.4679,0.2615,0.1029,1.0973,40.0644
constraints-scheduling,deepagent-harbor,openhands,5,70,1.0,0.9143,0.0857,7.4,23.1,15.7,0.3366,0.6175,0.0493,39.799
make-doom-for-mips,judy,mini-swe-agent,5,75,0.0,0.0,0.0,29.0,45.5467,16.5467,0.2292,0.5974,0.5163,39.7932
configure-git-webserver,deepagent-harbor,judy,5,5,0.8,0.8,0.0,19.4,27.6,8.2,0.1494,0.8124,1.5059,39.7745
pytorch-model-cli,judy,terminus-3-3,5,10,0.8,0.8,0.0,18.8,29.8,11.0,0.2882,0.52,1.6186,39.298
large-scale-text-editing,judy,terminus-3-3,5,10,1.0,1.0,0.0,14.0,28.2,14.2,0.2242,0.5854,0.9625,39.2525
git-leak-recovery,claude-code,openhands,35,70,0.9714,0.9286,0.0428,14.9714,39.6714,24.7,0.2016,0.3723,0.035,39.2225
cobol-modernization,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,65.0,33.7,31.3,0.2481,0.0177,0.2443,39.1665
tune-mjcf,judy,terminus-2,5,195,0.4,0.3231,0.0769,16.6,38.9179,22.3179,0.3673,0.2438,0.3112,39.1514
sam-cell-seg,gemini-cli,judy,20,5,0.1,0.0,0.1,4.05,16.2,12.15,0.2301,0.8087,0.2052,39.146
gcode-to-text,mini-swe-agent,openhands,75,70,0.0,0.0143,0.0143,10.96,29.8286,18.8686,0.2277,0.5136,0.3337,39.0696
mailman,gemini-cli,mini-swe-agent,20,74,0.3,0.2703,0.0297,13.1,38.3243,25.2243,0.4086,0.0759,0.3392,39.0328
prove-plus-comm,codex,judy,40,5,0.95,1.0,0.05,3.525,13.8,10.275,0.6163,0.4395,0.4475,38.9075
make-doom-for-mips,mini-swe-agent,terminus-3-3,75,10,0.0,0.0,0.0,45.5467,77.0,31.4533,0.0,0.1306,0.8354,38.8953
vulnerable-secret,codex,judy,40,5,0.9,1.0,0.1,11.9,22.4,10.5,0.2958,0.7587,0.4041,38.883
mteb-retrieve,judy,mini-swe-agent,5,75,0.0,0.0133,0.0133,16.0,4.84,11.16,0.4437,0.6372,0.1304,38.8345
polyglot-c-py,deepagent-harbor,judy,5,5,0.8,0.8,0.0,21.6,4.2,17.4,0.1334,0.5447,0.8761,38.733
crack-7z-hash,claude-code,terminus-3-3,35,10,0.8857,0.8,0.0857,24.0857,52.0,27.9143,0.199,0.2313,0.0067,38.7053
sam-cell-seg,gemini-cli,mini-swe-agent,20,75,0.1,0.0133,0.0867,4.05,22.2933,18.2433,0.6426,0.067,0.5209,38.5878
sam-cell-seg,judy,mini-swe-agent,5,75,0.0,0.0133,0.0133,16.2,22.2933,6.0933,0.4125,0.7417,0.7261,38.5788
dna-assembly,judy,terminus-2,5,205,0.0,0.0341,0.0341,11.6,26.5415,14.9415,0.267,0.5698,0.5424,38.5735
install-windows-3.11,deepagent-harbor,terminus-3-3,5,10,0.0,0.0,0.0,82.6,117.3,34.7,0.1176,0.0148,0.0853,38.4365
openssl-selfsigned-cert,claude-code,openhands,35,70,0.4286,0.3286,0.1,15.6286,37.9429,22.3143,0.4081,0.2155,0.1053,38.4308
raman-fitting,claude-code,openhands,35,70,0.0571,0.0,0.0571,20.0571,42.5714,22.5143,0.1539,0.4511,0.1523,38.4008
git-leak-recovery,deepagent-harbor,judy,5,5,1.0,1.0,0.0,5.2,18.6,13.4,0.179,0.6614,0.7928,38.374
bn-fit-modify,judy,terminus-3-3,5,10,1.0,1.0,0.0,10.0,24.8,14.8,0.4479,0.3505,0.7158,38.339
code-from-image,openhands,terminus-2,70,201,0.5286,0.5423,0.0137,51.9143,27.4925,24.4218,0.127,0.4092,0.0783,38.2183
vulnerable-secret,gemini-cli,mini-swe-agent,20,75,0.5,0.5467,0.0467,0.4,28.1733,27.7733,0.1667,0.0542,0.9821,38.2063
portfolio-optimization,codex,terminus-3-3,40,10,0.975,0.9,0.075,5.1,31.2,26.1,0.0331,0.4336,0.08,38.1675
gcode-to-text,gemini-cli,terminus-2,20,194,0.0,0.0052,0.0052,3.7,21.3093,17.6093,0.6591,0.0018,0.8047,38.1553
raman-fitting,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,24.8,42.5714,17.7714,0.1557,0.5436,0.5751,38.1294
filter-js-from-html,claude-code,terminus-2,35,195,0.0,0.0,0.0,5.0286,18.3026,13.274,0.5762,0.1666,1.2557,38.1225
pytorch-model-cli,codex,deepagent-harbor,40,5,0.475,0.4,0.075,3.35,36.6,33.25,0.106,0.0149,0.3429,37.987
modernize-scientific-stack,openhands,terminus-3-3,70,10,0.9286,1.0,0.0714,29.7429,10.4,19.3429,0.1157,0.5646,0.3106,37.9034
reshard-c4-data,judy,terminus-3-3,5,10,1.0,1.0,0.0,17.4,26.3,8.9,0.1698,0.6891,1.4974,37.8595
mteb-leaderboard,claude-code,terminus-2,35,194,0.0,0.0155,0.0155,35.2571,53.5979,18.3408,0.0817,0.3859,1.559,37.8258
break-filter-js-from-html,judy,terminus-3-3,5,10,1.0,1.0,0.0,8.8,20.4,11.6,0.1885,0.5954,1.3139,37.767
openssl-selfsigned-cert,claude-code,mini-swe-agent,35,75,0.4286,0.4533,0.0247,15.6286,7.1067,8.5219,0.72,0.2851,0.8182,37.7404
db-wal-recovery,claude-code,gemini-cli,35,20,0.0,0.0,0.0,42.7143,17.55,25.1643,0.1949,0.1736,0.6402,37.5778
adaptive-rejection-sampler,judy,mini-swe-agent,5,75,0.2,0.2533,0.0533,2.0,13.12,11.12,0.3333,0.611,0.5422,37.4385
dna-insert,gemini-cli,terminus-2,20,200,0.0,0.04,0.04,6.9,30.04,23.14,0.2604,0.2161,0.4742,37.4235
extract-moves-from-video,mini-swe-agent,terminus-2,75,193,0.0,0.0,0.0,29.4667,58.456,28.9893,0.04,0.1794,0.5746,37.3473
password-recovery,deepagent-harbor,gemini-cli,5,20,0.6,0.5,0.1,41.4,10.3,31.1,0.0527,0.1965,0.0003,37.3315
torch-pipeline-parallelism,claude-code,codex,35,40,0.0857,0.0,0.0857,9.5714,0.75,8.8214,0.6115,0.43,0.4872,37.2949
constraints-scheduling,mini-swe-agent,openhands,75,70,0.84,0.9143,0.0743,7.28,23.1,15.82,0.2234,0.6166,0.0877,37.2585
feal-differential-cryptanalysis,claude-code,mini-swe-agent,35,75,0.2,0.12,0.08,29.1429,20.2667,8.8762,0.7043,0.366,0.3166,37.2167
make-mips-interpreter,codex,gemini-cli,40,20,0.075,0.05,0.025,6.15,10.65,4.5,0.7675,0.5329,0.0399,37.2095
torch-pipeline-parallelism,mini-swe-agent,openhands,74,69,0.0,0.0,0.0,8.1486,25.2899,17.1413,0.2326,0.5278,0.2049,37.1758
polyglot-rust-c,judy,terminus-3-3,5,10,1.0,1.0,0.0,4.4,13.1,8.7,0.2896,0.5989,1.2261,37.043
modernize-scientific-stack,openhands,terminus-2,70,195,0.9286,0.9282,0.0004,29.7429,12.6769,17.066,0.1481,0.58,0.3441,36.989
pypi-server,codex,terminus-2,40,195,0.65,0.7231,0.0731,3.225,28.9949,25.7699,0.2468,0.0084,0.9494,36.8969
count-dataset-tokens,judy,terminus-3-3,5,10,1.0,0.9,0.1,13.4,27.3,13.9,0.4132,0.3815,0.6213,36.874
break-filter-js-from-html,claude-code,deepagent-harbor,32,5,0.5938,0.6,0.0062,53.9375,29.0,24.9375,0.0327,0.3717,0.358,36.8375
sam-cell-seg,claude-code,terminus-3-3,35,10,0.0,0.0,0.0,23.6286,42.1,18.4714,0.3959,0.2678,0.3476,36.8019
train-fasttext,gemini-cli,judy,20,5,0.0,0.0,0.0,2.75,15.4,12.65,0.0516,0.7751,0.6914,36.7745
constraints-scheduling,codex,openhands,40,70,0.9,0.9143,0.0143,2.45,23.1,20.65,0.0274,0.5607,0.2689,36.697
constraints-scheduling,claude-code,openhands,35,70,0.8286,0.9143,0.0857,5.8857,23.1,17.2143,0.2927,0.4565,0.1427,36.6578
mteb-retrieve,claude-code,judy,35,5,0.0,0.0,0.0,5.2,16.0,10.8,0.5379,0.4645,0.1585,36.6525
fix-git,gemini-cli,terminus-2,20,197,0.9,0.8376,0.0624,6.55,29.5431,22.9931,0.3501,0.1506,0.2263,36.6421
install-windows-3.11,claude-code,terminus-2,35,194,0.0,0.0052,0.0052,45.2857,69.4639,24.1782,0.3538,0.047,0.4873,36.6347
git-multibranch,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,45.8,21.4,24.4,0.4319,0.0104,0.2327,36.621
model-extraction-relu-logits,claude-code,mini-swe-agent,35,75,0.0,0.04,0.04,14.1714,7.5333,6.6381,0.7559,0.3851,0.2888,36.6071
model-extraction-relu-logits,judy,terminus-3-3,5,10,0.2,0.2,0.0,12.6,20.6,8.0,0.5179,0.4997,0.6301,36.5905
dna-assembly,claude-code,judy,35,5,0.0571,0.0,0.0571,29.9143,11.6,18.3143,0.0877,0.5499,0.4666,36.5873
compile-compcert,mini-swe-agent,openhands,75,70,0.0533,0.0429,0.0104,68.7733,89.1429,20.3696,0.1273,0.4658,0.2754,36.5741
make-mips-interpreter,gemini-cli,judy,20,5,0.05,0.0,0.05,10.65,22.2,11.55,0.6682,0.2049,0.6356,36.5555
torch-tensor-parallelism,deepagent-harbor,gemini-cli,5,20,0.0,0.05,0.05,13.4,1.35,12.05,0.484,0.1174,1.884,36.505
model-extraction-relu-logits,judy,openhands,5,69,0.2,0.1739,0.0261,12.6,36.9565,24.3565,0.2834,0.1235,0.394,36.499
qemu-startup,openhands,terminus-2,70,195,0.5714,0.5231,0.0483,55.9143,29.6974,26.2169,0.0792,0.2706,0.3067,36.4954
nginx-request-logging,claude-code,codex,35,40,0.9429,0.875,0.0679,19.7429,2.025,17.7179,0.3065,0.1924,1.2544,36.4624
merge-diff-arc-agi-task,openhands,terminus-2,69,195,0.5942,0.5231,0.0711,61.5652,40.1128,21.4524,0.2068,0.3461,0.2098,36.3239
nginx-request-logging,openhands,terminus-2,70,195,0.8,0.7333,0.0667,44.8143,25.159,19.6553,0.1971,0.4174,0.2451,36.2433
pytorch-model-cli,deepagent-harbor,mini-swe-agent,5,75,0.4,0.3867,0.0133,36.6,11.32,25.28,0.3407,0.0477,0.2443,36.2115
merge-diff-arc-agi-task,judy,terminus-3-3,5,10,1.0,1.0,0.0,22.6,33.0,10.4,0.2297,0.6372,0.8188,36.1665
sam-cell-seg,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0133,0.0133,41.2,22.2933,18.9067,0.5077,0.1203,0.3113,36.1632
overfull-hbox,codex,terminus-2,40,191,0.2,0.199,0.001,11.875,43.3403,31.4653,0.0289,0.1499,0.0406,36.1383
fix-git,gemini-cli,terminus-3-3,20,10,0.9,1.0,0.1,6.55,29.7,23.15,0.3449,0.1672,0.0259,36.082
largest-eigenval,judy,terminus-3-3,5,10,1.0,0.9,0.1,13.6,21.0,7.4,0.3425,0.5892,1.0595,35.99
model-extraction-relu-logits,codex,judy,40,5,0.15,0.2,0.05,5.125,12.6,7.475,0.5541,0.5782,0.0367,35.966
model-extraction-relu-logits,openhands,terminus-2,69,194,0.1739,0.1082,0.0657,36.9565,16.9536,20.0029,0.1901,0.4015,0.2156,35.8709
cobol-modernization,codex,terminus-3-3,40,10,0.925,1.0,0.075,3.725,33.7,29.975,0.0114,0.1725,0.2498,35.8215
fix-git,claude-code,terminus-2,35,197,0.8,0.8376,0.0376,7.8286,29.5431,21.7145,0.2811,0.2489,0.1633,35.781
reshard-c4-data,deepagent-harbor,judy,5,5,1.0,1.0,0.0,26.8,17.4,9.4,0.1283,0.7042,1.0853,35.639
git-leak-recovery,gemini-cli,judy,20,5,0.95,1.0,0.05,5.9,18.6,12.7,0.0491,0.7671,0.5037,35.6235
torch-pipeline-parallelism,gemini-cli,terminus-2,20,195,0.0,0.0205,0.0205,0.4,16.4821,16.0821,0.2462,0.1858,1.7438,35.6011
constraints-scheduling,gemini-cli,openhands,20,70,0.9,0.9143,0.0143,4.3,23.1,18.8,0.3617,0.2986,0.0552,35.5835
password-recovery,judy,terminus-3-3,5,10,1.0,0.9,0.1,38.2,41.9,3.7,0.1387,0.809,1.6192,35.4885
largest-eigenval,claude-code,gemini-cli,35,20,0.4857,0.45,0.0357,32.0286,12.65,19.3786,0.2635,0.31,0.3451,35.4416
fix-git,codex,terminus-2,40,197,0.85,0.8376,0.0124,3.5,29.5431,26.0431,0.1358,0.216,0.1196,35.4361
write-compressor,claude-code,mini-swe-agent,35,73,0.0857,0.0137,0.072,28.4571,16.0,12.4571,0.5823,0.1691,0.8272,35.3781
gpt2-codegolf,judy,mini-swe-agent,5,75,0.0,0.0,0.0,20.6,12.6133,7.9867,0.1268,0.799,0.8435,35.3492
build-pov-ray,claude-code,gemini-cli,32,18,0.8125,0.8333,0.0208,49.6562,18.7222,30.934,0.1141,0.0071,0.2742,35.335
kv-store-grpc,judy,terminus-3-3,5,10,1.0,1.0,0.0,20.8,12.7,8.1,0.3869,0.5092,0.9597,35.301
modernize-scientific-stack,codex,judy,40,5,0.95,1.0,0.05,2.35,15.2,12.85,0.3475,0.5056,0.2244,35.2995
filter-js-from-html,judy,mini-swe-agent,5,75,0.0,0.0,0.0,12.6,10.4267,2.1733,0.6774,0.6234,0.1093,35.2398
sanitize-git-repo,mini-swe-agent,terminus-2,75,194,0.0667,0.0619,0.0048,10.76,39.5052,28.7452,0.0611,0.1405,0.2813,35.1917
chess-best-move,mini-swe-agent,openhands,75,70,0.0,0.0571,0.0571,19.1067,36.7857,17.679,0.2463,0.383,0.345,35.1365
git-multibranch,judy,mini-swe-agent,5,75,0.6,0.52,0.08,12.4,16.3867,3.9867,0.3115,0.8085,0.6211,35.0922
git-leak-recovery,judy,openhands,5,70,1.0,0.9286,0.0714,18.6,39.6714,21.0714,0.0032,0.354,1.0171,35.0869
train-fasttext,codex,judy,40,5,0.0,0.0,0.0,7.225,15.4,8.175,0.0876,0.7099,1.3717,34.971
dna-insert,judy,terminus-3-3,5,10,0.6,0.5,0.1,18.6,10.7,7.9,0.3896,0.549,0.7197,34.9635
reshard-c4-data,claude-code,gemini-cli,35,20,0.4286,0.5,0.0714,38.8,9.05,29.75,0.0244,0.0257,0.7863,34.934
headless-terminal,claude-code,codex,35,40,0.8,0.825,0.025,11.7429,1.975,9.7679,0.6827,0.2314,0.4613,34.9269
cancel-async-tasks,mini-swe-agent,openhands,75,70,0.4,0.4,0.0,8.2,22.1714,13.9714,0.3245,0.4577,0.2373,34.7129
video-processing,claude-code,codex,35,40,0.0286,0.025,0.0036,21.8571,1.725,20.1321,0.2519,0.109,1.0921,34.6151
prove-plus-comm,gemini-cli,mini-swe-agent,20,75,0.9,0.8,0.1,3.9,8.12,4.22,0.9237,0.2724,0.0957,34.601
regex-chess,codex,gemini-cli,40,20,0.0,0.0,0.0,2.275,3.25,0.975,0.9405,0.1939,1.0514,34.592
headless-terminal,judy,mini-swe-agent,5,75,0.8,0.76,0.04,13.4,9.7467,3.6533,0.5093,0.642,0.4128,34.4998
dna-assembly,gemini-cli,terminus-2,20,205,0.05,0.0341,0.0159,5.85,26.5415,20.6915,0.4235,0.1057,0.1154,34.4985
distribution-search,deepagent-harbor,judy,5,5,1.0,1.0,0.0,16.6,17.6,1.0,0.5577,0.6617,0.5865,34.4175
dna-assembly,codex,gemini-cli,40,20,0.0,0.05,0.05,18.15,5.85,12.3,0.5371,0.2494,0.4855,34.39
dna-assembly,codex,judy,40,5,0.0,0.0,0.0,18.15,11.6,6.55,0.3806,0.7135,0.0585,34.195
feal-differential-cryptanalysis,deepagent-harbor,judy,5,5,1.0,1.0,0.0,15.8,5.0,10.8,0.2831,0.63,0.1084,34.1695
tune-mjcf,claude-code,judy,35,5,0.4,0.4,0.0,40.4857,16.6,23.8857,0.2768,0.0981,0.1761,34.1387
gpt2-codegolf,claude-code,codex,35,40,0.0,0.0,0.0,20.6,0.875,19.725,0.237,0.228,0.549,34.095
sam-cell-seg,claude-code,gemini-cli,35,20,0.0,0.1,0.1,23.6286,4.05,19.5786,0.162,0.231,0.9301,34.0541
sparql-university,judy,terminus-3-3,5,10,1.0,1.0,0.0,13.2,18.2,5.0,0.4938,0.5268,0.7055,34.0425
caffe-cifar-10,gemini-cli,mini-swe-agent,18,75,0.0556,0.0,0.0556,11.4444,25.3067,13.8623,0.4931,0.1925,0.6051,34.0278
make-doom-for-mips,codex,judy,40,5,0.0,0.0,0.0,21.15,29.0,7.85,0.2271,0.6259,0.9562,33.956
distribution-search,judy,terminus-3-3,5,10,1.0,1.0,0.0,17.6,10.4,7.2,0.4995,0.4793,0.4413,33.8765
large-scale-text-editing,deepagent-harbor,judy,5,5,1.0,1.0,0.0,24.4,14.0,10.4,0.1851,0.5266,1.1063,33.724
db-wal-recovery,claude-code,terminus-3-3,35,10,0.0,0.1,0.1,42.7143,71.5,28.7857,0.1824,0.0079,0.0298,33.6922
kv-store-grpc,deepagent-harbor,judy,5,5,1.0,1.0,0.0,12.0,20.8,8.8,0.3316,0.4967,0.8283,33.649
multi-source-data-merger,codex,judy,40,5,0.975,1.0,0.025,2.975,12.8,9.825,0.2544,0.6365,0.2959,33.577
vulnerable-secret,deepagent-harbor,judy,5,5,1.0,1.0,0.0,12.6,22.4,9.8,0.0174,0.7662,0.8347,33.5635
path-tracing,mini-swe-agent,terminus-2,75,187,0.0133,0.0267,0.0134,34.6133,61.2139,26.6006,0.0417,0.1114,0.6122,33.4891
video-processing,gemini-cli,terminus-3-3,20,10,0.1,0.2,0.1,4.6,21.3,16.7,0.3814,0.2842,0.0192,33.436
protein-assembly,claude-code,terminus-2,35,194,0.0571,0.0979,0.0408,41.8571,32.366,9.4911,0.1985,0.5761,0.905,33.3811
fix-ocaml-gc,codex,gemini-cli,40,20,0.65,0.55,0.1,14.4,11.6,2.8,0.5758,0.5795,0.3366,33.3655
nginx-request-logging,deepagent-harbor,judy,5,5,1.0,1.0,0.0,30.2,18.0,12.2,0.0947,0.5552,0.9734,33.3145
video-processing,claude-code,mini-swe-agent,35,75,0.0286,0.0,0.0286,21.8571,9.84,12.0171,0.5791,0.1949,0.3763,33.2486
caffe-cifar-10,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0,0.0,3.4,25.3067,21.9067,0.25,0.1311,0.3512,33.1902
adaptive-rejection-sampler,gemini-cli,mini-swe-agent,19,75,0.3158,0.2533,0.0625,4.6316,13.12,8.4884,0.6974,0.2302,0.2962,33.1594
torch-tensor-parallelism,claude-code,mini-swe-agent,35,74,0.0286,0.0,0.0286,3.2,10.0946,6.8946,0.7717,0.1564,0.5932,33.0631
sam-cell-seg,mini-swe-agent,terminus-3-3,75,10,0.0133,0.0,0.0133,22.2933,42.1,19.8067,0.0847,0.4318,0.0616,33.0272
regex-log,claude-code,openhands,35,70,0.5429,0.6286,0.0857,4.8857,21.8143,16.9286,0.0627,0.5065,0.3594,32.9556
torch-tensor-parallelism,codex,mini-swe-agent,40,74,0.1,0.0,0.1,0.475,10.0946,9.6196,0.6,0.0749,1.2833,32.9086
prove-plus-comm,gemini-cli,terminus-2,20,195,0.9,0.8769,0.0231,3.9,11.9949,8.0949,0.7558,0.1396,0.4827,32.8934
raman-fitting,gemini-cli,terminus-2,20,194,0.0,0.0,0.0,5.3,15.9227,10.6227,0.6329,0.1879,0.3413,32.8492
torch-pipeline-parallelism,codex,deepagent-harbor,40,5,0.0,0.0,0.0,0.75,8.8,8.05,0.485,0.3477,0.7877,32.806
model-extraction-relu-logits,openhands,terminus-3-3,69,10,0.1739,0.2,0.0261,36.9565,20.6,16.3565,0.2345,0.3762,0.2361,32.8045
filter-js-from-html,codex,terminus-2,40,195,0.0,0.0,0.0,0.95,18.3026,17.3526,0.115,0.2207,1.403,32.7601
dna-assembly,claude-code,mini-swe-agent,35,74,0.0571,0.0,0.0571,29.9143,14.1622,15.7521,0.4693,0.0881,0.5948,32.6611
extract-elf,codex,terminus-2,40,196,0.475,0.4031,0.0719,1.275,23.4541,22.1791,0.161,0.1064,0.7583,32.6556
torch-tensor-parallelism,openhands,terminus-2,69,195,0.029,0.0256,0.0034,35.2899,12.3641,22.9258,0.0043,0.3243,0.3021,32.6513
train-fasttext,claude-code,judy,35,5,0.0,0.0,0.0,20.3714,15.4,4.9714,0.2071,0.5528,1.7323,32.6304
large-scale-text-editing,gemini-cli,mini-swe-agent,20,75,0.3,0.2133,0.0867,8.7,20.8133,12.1133,0.5374,0.2479,0.1724,32.6078
filter-js-from-html,codex,gemini-cli,40,20,0.0,0.0,0.0,0.95,9.4,8.45,0.5107,0.3334,0.6106,32.6055
model-extraction-relu-logits,judy,terminus-2,5,194,0.2,0.1082,0.0918,12.6,16.9536,4.3536,0.4735,0.525,0.6096,32.3641
sam-cell-seg,mini-swe-agent,terminus-2,75,193,0.0133,0.0155,0.0022,22.2933,45.7979,23.5046,0.112,0.1652,0.3766,32.3176
constraints-scheduling,openhands,terminus-3-3,70,10,0.9143,1.0,0.0857,23.1,10.4,12.7,0.0976,0.4734,1.0654,32.302
train-fasttext,claude-code,gemini-cli,35,20,0.0,0.0,0.0,20.3714,2.75,17.6214,0.1555,0.2223,1.0409,32.2709
pytorch-model-cli,claude-code,deepagent-harbor,35,5,0.3714,0.4,0.0286,15.9714,36.6,20.6286,0.2456,0.1328,0.4268,32.2226
raman-fitting,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,5.3,12.56,7.26,0.7406,0.2448,0.0559,32.1745
build-cython-ext,judy,terminus-3-3,5,10,1.0,0.9,0.1,41.2,47.1,5.9,0.2009,0.5189,1.6408,32.099
feal-differential-cryptanalysis,judy,terminus-3-3,5,10,1.0,1.0,0.0,5.0,15.9,10.9,0.3472,0.4361,0.2937,31.951
portfolio-optimization,judy,terminus-3-3,5,10,1.0,0.9,0.1,11.8,31.2,19.4,0.2717,0.1415,0.4421,31.9405
caffe-cifar-10,mini-swe-agent,terminus-2,75,203,0.0,0.0,0.0,25.3067,47.3251,22.0184,0.0062,0.2228,0.8269,31.8779
gpt2-codegolf,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,1.95,12.6133,10.6633,0.5093,0.1511,0.9311,31.8288
dna-insert,openhands,terminus-2,69,200,0.0145,0.04,0.0255,45.913,30.04,15.873,0.1348,0.4583,0.2113,31.757
