agent,model_a,model_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
terminus-2,gpt-5-mini@openai,minimax-m2.1@openai,438,438,0.2443,0.2968,0.0525,62.9155,51.0685,11.847,0.079,0.0582,15.277
mini-swe-agent,gpt-5@openai,grok-4-0709@xai,445,445,0.3393,0.2539,0.0854,8.8045,21.9933,13.1888,0.0,0.0835,15.2763
mini-swe-agent,gpt-5-nano@openai,grok-4-0709@xai,445,445,0.0697,0.2539,0.1842,7.9034,21.9933,14.0899,0.0,0.046,15.2399
mini-swe-agent,gpt-5-codex@openai,gpt-5@openai,444,445,0.4144,0.3393,0.0751,22.3559,8.8045,13.5514,0.0,0.0606,15.0664
terminus-2,claude-opus-4-1-20250805@anthropic,gemini-3-pro-preview@gemini,443,445,0.3815,0.5685,0.187,43.921,30.209,13.712,0.0419,0.0117,15.052
terminus-2,gemini-2.5-pro@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,442,923,0.3281,0.2795,0.0486,30.6086,42.5255,11.9169,0.0554,0.0692,15.0319
mini-swe-agent,gpt-5-codex@openai,gpt-5-nano@openai,444,445,0.4144,0.0697,0.3447,22.3559,7.9034,14.4525,0.0,0.0231,15.03
terminus-2,claude-sonnet-4-5-20250929@anthropic,gpt-5.1-codex@openai,440,445,0.4318,0.3685,0.0633,45.2409,31.2067,14.0342,0.0146,0.0243,15.0067
terminus-2,claude-haiku-4-5-20251001@anthropic,moonshotai/Kimi-K2-Thinking@together_ai,439,892,0.2847,0.3587,0.074,46.5353,60.7377,14.2024,0.0295,0.0016,14.9799
terminus-2,claude-haiku-4-5-20251001@anthropic,minimax-m2.5@Minimax,439,445,0.2847,0.4225,0.1378,46.5353,33.8584,12.6769,0.0261,0.0622,14.8844
terminus-2,claude-haiku-4-5-20251001@anthropic,gpt-5-codex@openai,439,437,0.2847,0.4416,0.1569,46.5353,31.7941,14.7412,0.001,0.0047,14.8837
terminus-2,claude-opus-4-5-20251101@anthropic,gemini-3-pro-preview@gemini,445,445,0.5775,0.5685,0.009,44.5978,30.209,14.3888,0.012,0.0044,14.7988
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,claude-opus-4-5-20251101@anthropic,904,445,0.2478,0.5775,0.3297,57.5243,44.5978,12.9265,0.0302,0.0419,14.729
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gemini-3-flash-preview@gemini,902,445,0.306,0.5169,0.2109,47.1419,34.7506,12.3913,0.0721,0.0214,14.7288
terminus-2,gpt-5.2@openai,moonshotai/Kimi-K2-Thinking@together_ai,444,892,0.5405,0.3587,0.1818,47.5766,60.7377,13.1611,0.0346,0.0281,14.7286
terminus-2,gemini-3-flash-preview@gemini,gpt-5.2@openai,445,444,0.5169,0.5405,0.0236,34.7506,47.5766,12.826,0.0508,0.0228,14.666
terminus-2,gemini-3-flash-preview@gemini,grok-code-fast-1@xai,445,445,0.5169,0.1416,0.3753,34.7506,23.209,11.5416,0.054,0.0703,14.6491
terminus-2,deepseek-v3.2@deepseek,gpt-5.2@openai,445,444,0.3955,0.5405,0.145,60.4247,47.5766,12.8481,0.0491,0.018,14.5256
terminus-2,claude-opus-4-5-20251101@anthropic,gpt-5.1-codex@openai,445,445,0.5775,0.3685,0.209,44.5978,31.2067,13.3911,0.0198,0.0244,14.4961
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5.1-codex@openai,929,445,0.2411,0.3685,0.1274,44.9709,31.2067,13.7642,0.0132,0.0124,14.4042
terminus-2,claude-sonnet-4-5-20250929@anthropic,gpt-5-codex@openai,440,437,0.4318,0.4416,0.0098,45.2409,31.7941,13.4468,0.017,0.0212,14.4018
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,moonshotai/Kimi-K2-Thinking@together_ai,902,892,0.306,0.3587,0.0527,47.1419,60.7377,13.5958,0.0133,0.0161,14.3308
terminus-2,claude-opus-4-1-20250805@anthropic,claude-opus-4-6@anthropic,443,445,0.3815,0.6292,0.2477,43.921,31.3438,12.5772,0.0237,0.0461,14.3222
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,claude-opus-4-1-20250805@anthropic,904,443,0.2478,0.3815,0.1337,57.5243,43.921,13.6033,0.0003,0.0258,14.2558
terminus-2,claude-opus-4-5-20251101@anthropic,claude-opus-4-6@anthropic,445,445,0.5775,0.6292,0.0517,44.5978,31.3438,13.254,0.0062,0.03,14.159
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,gemini-2.5-pro@gemini,444,444,0.2973,0.2613,0.036,38.3671,26.2027,12.1644,0.0,0.0795,14.1519
openhands,claude-haiku-4-5-20251001@anthropic,gpt-5@openai,444,445,0.1396,0.4382,0.2986,42.759,35.1079,7.6511,0.0987,0.155,13.9936
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5-codex@openai,929,437,0.2411,0.4416,0.2005,44.9709,31.7941,13.1768,0.0156,0.0155,13.9543
terminus-2,glm-5@z-ai,gpt-5.2@openai,442,444,0.5226,0.5405,0.0179,34.7489,47.5766,12.8277,0.0174,0.0245,13.8752
mini-swe-agent,claude-opus-4-1-20250805@anthropic,gemini-2.5-flash@gemini,444,445,0.3514,0.1708,0.1806,29.4212,40.6831,11.2619,0.0,0.1017,13.8044
terminus-2,claude-opus-4-5-20251101@anthropic,gpt-5-codex@openai,445,437,0.5775,0.4416,0.1359,44.5978,31.7941,12.8037,0.0174,0.0213,13.7712
terminus-2,gpt-5.1@openai,minimax-m2.1@openai,445,438,0.4764,0.2968,0.1796,38.0944,51.0685,12.9741,0.0237,0.0028,13.6366
terminus-2,claude-opus-4-6@anthropic,grok-code-fast-1@xai,445,445,0.6292,0.1416,0.4876,31.3438,23.209,8.1348,0.0997,0.1194,13.6123
openhands,claude-opus-4-5-20251101@anthropic,grok-4-0709@xai,445,444,0.5191,0.2725,0.2466,37.9371,38.1486,0.2115,0.2485,0.2872,13.604
terminus-2,grok-code-fast-1@xai,openai/gpt-oss-20b@together_ai,445,932,0.1416,0.03,0.1116,23.209,12.2275,10.9815,0.1024,0.0022,13.5965
terminus-2,gemini-3-pro-preview@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.5685,0.2795,0.289,30.209,42.5255,12.3165,0.0367,0.0143,13.5915
terminus-2,gemini-3-flash-preview@gemini,gpt-5@openai,445,438,0.5169,0.3562,0.1607,34.7506,46.3562,11.6056,0.0366,0.0406,13.5356
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,claude-sonnet-4-5-20250929@anthropic,904,440,0.2478,0.4318,0.184,57.5243,45.2409,12.2834,0.0042,0.0418,13.4334
mini-swe-agent,gpt-5-mini@openai,grok-4-0709@xai,445,445,0.2225,0.2539,0.0314,10.3034,21.9933,11.6899,0.0,0.0688,13.4099
openhands,claude-opus-4-1-20250805@anthropic,gemini-2.5-pro@gemini,445,445,0.3685,0.164,0.2045,79.2652,67.4315,11.8337,0.0513,0.0109,13.3887
terminus-2,glm-5@z-ai,gpt-5@openai,442,438,0.5226,0.3562,0.1664,34.7489,46.3562,11.6073,0.0316,0.0389,13.3698
terminus-2,claude-haiku-4-5-20251001@anthropic,gemini-3-flash-preview@gemini,439,445,0.2847,0.5169,0.2322,46.5353,34.7506,11.7847,0.0559,0.0069,13.3547
terminus-2,gpt-5.1@openai,openai/gpt-oss-120b@together_ai,445,925,0.4764,0.1924,0.284,38.0944,29.6605,8.4339,0.1048,0.0893,13.2864
terminus-2,gpt-5.1@openai,grok-4-0709@xai,445,436,0.4764,0.2362,0.2402,38.0944,26.6537,11.4407,0.0625,0.0085,13.2157
mini-swe-agent,gpt-5-codex@openai,gpt-5-mini@openai,444,445,0.4144,0.2225,0.1919,22.3559,10.3034,12.0525,0.0,0.0459,13.2
terminus-2,gemini-2.5-flash@gemini,gpt-5-mini@openai,439,438,0.1708,0.2443,0.0735,73.8223,62.9155,10.9068,0.0372,0.0537,13.1793
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,minimax-m2.5@Minimax,929,445,0.2411,0.4225,0.1814,44.9709,33.8584,11.1125,0.0095,0.073,13.175
terminus-2,claude-opus-4-1-20250805@anthropic,gpt-5.1-codex@openai,443,445,0.3815,0.3685,0.013,43.921,31.2067,12.7143,0.0101,0.0083,13.1743
terminus-2,gpt-5-codex@openai,grok-code-fast-1@xai,437,445,0.4416,0.1416,0.3,31.7941,23.209,8.5851,0.1109,0.0681,13.0601
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,glm-5@z-ai,902,442,0.306,0.5226,0.2166,47.1419,34.7489,12.393,0.0039,0.0197,12.983
mini-swe-agent,grok-code-fast-1@xai,openai/gpt-oss-120b@together_ai,445,887,0.2584,0.1421,0.1163,22.827,11.5806,11.2464,0.0,0.066,12.8964
terminus-2,claude-opus-4-6@anthropic,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.6292,0.2795,0.3497,31.3438,42.5255,11.1817,0.0185,0.0487,12.8617
terminus-2,claude-sonnet-4-5-20250929@anthropic,gemini-3-flash-preview@gemini,440,445,0.4318,0.5169,0.0851,45.2409,34.7506,10.4903,0.0739,0.019,12.8128
terminus-3-3,claude-opus-4-6@anthropic,gemini-3.1-pro-preview@Google,442,445,0.7489,0.7483,0.0006,28.6335,39.5034,10.8699,0.0612,0.0148,12.7699
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,accounts/fireworks/models/glm-4p6@fireworks_ai,929,904,0.2411,0.2478,0.0067,44.9709,57.5243,12.5534,0.0028,0.0051,12.7509
terminus-2,claude-opus-4-5-20251101@anthropic,minimax-m2.5@Minimax,445,445,0.5775,0.4225,0.155,44.5978,33.8584,10.7394,0.0425,0.0362,12.7069
terminus-2,claude-opus-4-1-20250805@anthropic,gpt-5-codex@openai,443,437,0.3815,0.4416,0.0601,43.921,31.7941,12.1269,0.0125,0.0052,12.5694
terminus-2,claude-sonnet-4-5-20250929@anthropic,minimax-m2.5@Minimax,440,445,0.4318,0.4225,0.0093,45.2409,33.8584,11.3825,0.0081,0.0363,12.4925
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-3-flash-preview@gemini,929,445,0.2411,0.5169,0.2758,44.9709,34.7506,10.2203,0.0725,0.0177,12.4753
terminus-2,gpt-5.1-codex@openai,grok-code-fast-1@xai,445,445,0.3685,0.1416,0.2269,31.2067,23.209,7.9977,0.1133,0.065,12.4552
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5@openai,904,438,0.2478,0.3562,0.1084,57.5243,46.3562,11.1681,0.0331,0.0178,12.4406
openhands,gemini-2.5-pro@gemini,gpt-5-nano@openai,445,444,0.164,0.0991,0.0649,67.4315,60.4414,6.9901,0.0664,0.1464,12.3101
terminus-2,claude-haiku-4-5-20251001@anthropic,glm-5@z-ai,439,442,0.2847,0.5226,0.2379,46.5353,34.7489,11.7864,0.0123,0.0052,12.2239
openhands,gemini-2.5-flash@gemini,gemini-2.5-pro@gemini,445,445,0.164,0.164,0.0,78.7034,67.4315,11.2719,0.0169,0.016,12.0944
codex,gpt-5-nano@openai,gpt-5@openai,440,439,0.1159,0.4943,0.3784,7.45,15.7472,8.2972,0.0873,0.0592,11.9597
openhands,claude-haiku-4-5-20251001@anthropic,grok-4-0709@xai,444,444,0.1396,0.2725,0.1329,42.759,38.1486,4.6104,0.1101,0.1798,11.8579
mini-swe-agent,claude-opus-4-1-20250805@anthropic,claude-sonnet-4-5-20250929@anthropic,444,442,0.3514,0.4253,0.0739,29.4212,41.1968,11.7756,0.0,0.0003,11.7831
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,claude-haiku-4-5-20251001@anthropic,904,439,0.2478,0.2847,0.0369,57.5243,46.5353,10.989,0.0138,0.0159,11.7315
terminus-2,claude-opus-4-1-20250805@anthropic,minimax-m2.5@Minimax,443,445,0.3815,0.4225,0.041,43.921,33.8584,10.0626,0.0126,0.0523,11.6851
terminus-2,minimax-m2.5@Minimax,openai/gpt-oss-120b@together_ai,445,925,0.4225,0.1924,0.2301,33.8584,29.6605,4.1979,0.147,0.1497,11.6154
terminus-2,gpt-5.1-codex@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.3685,0.2795,0.089,31.2067,42.5255,11.3188,0.0049,0.0057,11.5838
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5.2@openai,904,444,0.2478,0.5405,0.2927,57.5243,47.5766,9.9477,0.0189,0.0456,11.5602
terminus-2,grok-4-0709@xai,minimax-m2.5@Minimax,436,445,0.2362,0.4225,0.1863,26.6537,33.8584,7.2047,0.1047,0.0689,11.5447
terminus-2,deepseek-v3.2@deepseek,minimax-m2.1@openai,445,438,0.3955,0.2968,0.0987,60.4247,51.0685,9.3562,0.0364,0.0431,11.3437
terminus-2,claude-opus-4-5-20251101@anthropic,gemini-3-flash-preview@gemini,445,445,0.5775,0.5169,0.0606,44.5978,34.7506,9.8472,0.0395,0.0191,11.3122
terminus-2,gemini-3-pro-preview@gemini,grok-code-fast-1@xai,445,445,0.5685,0.1416,0.4269,30.209,23.209,7.0,0.0815,0.085,11.1625
terminus-2,claude-sonnet-4-5-20250929@anthropic,glm-5@z-ai,440,442,0.4318,0.5226,0.0908,45.2409,34.7489,10.492,0.0057,0.0207,11.152
terminus-2,claude-opus-4-5-20251101@anthropic,glm-5@z-ai,445,442,0.5775,0.5226,0.0549,44.5978,34.7489,9.8489,0.0287,0.0208,11.0864
mini-swe-agent,grok-4-0709@xai,openai/gpt-oss-120b@together_ai,445,887,0.2539,0.1421,0.1118,21.9933,11.5806,10.4127,0.0,0.024,11.0127
terminus-2,claude-opus-4-1-20250805@anthropic,gemini-3-flash-preview@gemini,443,445,0.3815,0.5169,0.1354,43.921,34.7506,9.1704,0.0694,0.003,10.9804
terminus-2,gpt-5-codex@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,437,923,0.4416,0.2795,0.1621,31.7941,42.5255,10.7314,0.0073,0.0026,10.9789
mini-swe-agent,gpt-5-codex@openai,openai/gpt-oss-120b@together_ai,444,887,0.4144,0.1421,0.2723,22.3559,11.5806,10.7753,0.0,0.0011,10.8028
terminus-2,glm-5@z-ai,openai/gpt-oss-120b@together_ai,442,925,0.5226,0.1924,0.3302,34.7489,29.6605,5.0884,0.1332,0.0927,10.7359
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,glm-5@z-ai,929,442,0.2411,0.5226,0.2815,44.9709,34.7489,10.222,0.0043,0.016,10.7295
claude-code,claude-opus-4-1-20250805@anthropic,claude-opus-4-5-20251101@anthropic,437,445,0.3478,0.5213,0.1735,31.4897,36.8809,5.3912,0.0965,0.1165,10.7162
terminus-2,glm-5@z-ai,grok-4-0709@xai,442,436,0.5226,0.2362,0.2864,34.7489,26.6537,8.0952,0.0909,0.0119,10.6652
terminus-2,minimax-m2.5@Minimax,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.4225,0.2795,0.143,33.8584,42.5255,8.6671,0.0178,0.0549,10.4846
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,accounts/fireworks/models/minimax-m2@fireworks_ai,904,902,0.2478,0.306,0.0582,57.5243,47.1419,10.3824,0.0024,0.0014,10.4774
codex,gpt-5-mini@openai,gpt-5-nano@openai,437,440,0.3158,0.1159,0.1999,14.5561,7.45,7.1061,0.0852,0.0492,10.4661
terminus-2,gpt-5.1@openai,gpt-5.2@openai,445,444,0.4764,0.5405,0.0641,38.0944,47.5766,9.4822,0.011,0.0279,10.4547
claude-code,claude-opus-4-5-20251101@anthropic,claude-opus-4-6@anthropic,445,445,0.5213,0.5798,0.0585,36.8809,27.3348,9.5461,0.0219,0.0117,10.3861
terminus-2,minimax-m2.1@openai,moonshotai/Kimi-K2-Thinking@together_ai,438,892,0.2968,0.3587,0.0619,51.0685,60.7377,9.6692,0.0219,0.003,10.2917
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gpt-5.1@openai,902,445,0.306,0.4764,0.1704,47.1419,38.0944,9.0475,0.0323,0.0163,10.2625
terminus-2,gemini-2.5-pro@gemini,gpt-5.1@openai,442,445,0.3281,0.4764,0.1483,30.6086,38.0944,7.4858,0.031,0.0637,9.8533
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,claude-opus-4-1-20250805@anthropic,444,444,0.2973,0.3514,0.0541,38.3671,29.4212,8.9459,0.0,0.0195,9.4334
terminus-2,gemini-3-flash-preview@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.5169,0.2795,0.2374,34.7506,42.5255,7.7749,0.0642,0.0004,9.3899
terminus-2,claude-opus-4-1-20250805@anthropic,glm-5@z-ai,443,442,0.3815,0.5226,0.1411,43.921,34.7489,9.1721,0.0012,0.0047,9.3196
terminus-2,gpt-5.1@openai,gpt-5@openai,445,438,0.4764,0.3562,0.1202,38.0944,46.3562,8.2618,0.0032,0.0355,9.2293
claude-code,claude-opus-4-5-20251101@anthropic,claude-sonnet-4-5-20250929@anthropic,445,437,0.5213,0.3959,0.1254,36.8809,30.9908,5.8901,0.0616,0.0712,9.2101
claude-code,claude-opus-4-6@anthropic,minimax-m2.1@minimax,445,445,0.5798,0.3663,0.2135,27.3348,35.5753,8.2405,0.0081,0.0293,9.1755
terminus-2,gemini-3-flash-preview@gemini,openai/gpt-oss-120b@together_ai,445,925,0.5169,0.1924,0.3245,34.7506,29.6605,5.0901,0.065,0.0944,9.0751
terminus-2,gemini-2.5-pro@gemini,grok-code-fast-1@xai,442,445,0.3281,0.1416,0.1865,30.6086,23.209,7.3996,0.0628,0.0015,9.0071
terminus-2,gemini-3-flash-preview@gemini,grok-4-0709@xai,445,436,0.5169,0.2362,0.2807,34.7506,26.6537,8.0969,0.0227,0.0136,9.0044
terminus-2,claude-haiku-4-5-20251001@anthropic,gpt-5.1@openai,439,445,0.2847,0.4764,0.1917,46.5353,38.0944,8.4409,0.0161,0.0018,8.8884
openhands,gpt-5-mini@openai,gpt-5@openai,445,445,0.2921,0.4382,0.1461,41.5213,35.1079,6.4134,0.0376,0.0559,8.7509
terminus-2,gemini-3-pro-preview@gemini,gpt-5.1@openai,445,445,0.5685,0.4764,0.0921,30.209,38.0944,7.8854,0.0123,0.0198,8.6879
claude-code,claude-opus-4-1-20250805@anthropic,claude-opus-4-6@anthropic,437,445,0.3478,0.5798,0.232,31.4897,27.3348,4.1549,0.0746,0.1048,8.6399
terminus-2,minimax-m2.1@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,438,923,0.2968,0.2795,0.0173,51.0685,42.5255,8.543,0.0007,0.0027,8.628
terminus-2,claude-sonnet-4-5-20250929@anthropic,gpt-5.1@openai,440,445,0.4318,0.4764,0.0446,45.2409,38.0944,7.1465,0.0341,0.0241,8.6015
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5-mini@openai,904,438,0.2478,0.2443,0.0035,57.5243,62.9155,5.3912,0.0852,0.0377,8.4637
codex,gpt-5-codex@openai,gpt-5-nano@openai,436,440,0.4427,0.1159,0.3268,10.8394,7.45,3.3894,0.12,0.0775,8.3269
terminus-2,claude-opus-4-6@anthropic,gpt-5.1@openai,445,445,0.6292,0.4764,0.1528,31.3438,38.0944,6.7506,0.0059,0.0542,8.2531
terminus-2,gemini-2.5-pro@gemini,minimax-m2.5@Minimax,442,445,0.3281,0.4225,0.0944,30.6086,33.8584,3.2498,0.0732,0.1241,8.1823
mini-swe-agent,claude-opus-4-1-20250805@anthropic,grok-code-fast-1@xai,444,445,0.3514,0.2584,0.093,29.4212,22.827,6.5942,0.0,0.0634,8.1792
claude-code,claude-opus-4-1-20250805@anthropic,minimax-m2.1@minimax,437,445,0.3478,0.3663,0.0185,31.4897,35.5753,4.0856,0.0827,0.0755,8.0406
terminus-2,claude-opus-4-6@anthropic,openai/gpt-oss-120b@together_ai,445,925,0.6292,0.1924,0.4368,31.3438,29.6605,1.6833,0.1107,0.1435,8.0383
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5.1@openai,929,445,0.2411,0.4764,0.2353,44.9709,38.0944,6.8765,0.0327,0.0126,8.009
terminus-2,claude-opus-4-6@anthropic,grok-4-0709@xai,445,436,0.6292,0.2362,0.393,31.3438,26.6537,4.6901,0.0684,0.0627,7.9676
mini-swe-agent,claude-opus-4-1-20250805@anthropic,grok-4-0709@xai,444,445,0.3514,0.2539,0.0975,29.4212,21.9933,7.4279,0.0,0.0214,7.9629
terminus-2,glm-5@z-ai,moonshotai/Kimi-K2-Instruct-0905@together_ai,442,923,0.5226,0.2795,0.2431,34.7489,42.5255,7.7766,0.004,0.0021,7.9291
terminus-2,deepseek-v3.2@deepseek,gpt-5-mini@openai,445,438,0.3955,0.2443,0.1512,60.4247,62.9155,2.4908,0.1154,0.1013,7.9083
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,claude-sonnet-4-5-20250929@anthropic,878,443,0.2574,0.4244,0.167,100.3622,94.1287,6.2335,0.0336,0.0307,7.841
terminus-2,claude-opus-4-5-20251101@anthropic,minimax-m2.1@openai,445,438,0.5775,0.2968,0.2807,44.5978,51.0685,6.4707,0.024,0.0214,7.6057
mini-swe-agent,openai/gpt-oss-120b@together_ai,openai/gpt-oss-20b@together_ai,887,888,0.1421,0.0338,0.1083,11.5806,5.0676,6.513,0.0,0.0397,7.5055
terminus-2,gpt-5-codex@openai,openai/gpt-oss-120b@together_ai,437,925,0.4416,0.1924,0.2492,31.7941,29.6605,2.1336,0.1219,0.0922,7.4861
terminus-2,claude-opus-4-1-20250805@anthropic,minimax-m2.1@openai,443,438,0.3815,0.2968,0.0847,43.921,51.0685,7.1475,0.0059,0.0053,7.4275
terminus-2,gpt-5-codex@openai,grok-4-0709@xai,437,436,0.4416,0.2362,0.2054,31.7941,26.6537,5.1404,0.0796,0.0114,7.4154
terminus-2,gpt-5.1-codex@openai,gpt-5.1@openai,445,445,0.3685,0.4764,0.1079,31.2067,38.0944,6.8877,0.0195,0.0002,7.3802
mini-swe-agent,gpt-5-mini@openai,openai/gpt-oss-20b@together_ai,445,888,0.2225,0.0338,0.1887,10.3034,5.0676,5.2358,0.0,0.0845,7.3483
terminus-2,grok-code-fast-1@xai,openai/gpt-oss-120b@together_ai,445,925,0.1416,0.1924,0.0508,23.209,29.6605,6.4515,0.011,0.0241,7.329
terminus-2,gemini-2.5-pro@gemini,glm-5@z-ai,442,442,0.3281,0.5226,0.1945,30.6086,34.7489,4.1403,0.0594,0.0671,7.3028
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,minimax-m2.1@openai,904,438,0.2478,0.2968,0.049,57.5243,51.0685,6.4558,0.0062,0.0205,7.1233
terminus-2,claude-opus-4-5-20251101@anthropic,gpt-5.1@openai,445,445,0.5775,0.4764,0.1011,44.5978,38.0944,6.5034,0.0003,0.0242,7.1159
mini-swe-agent,claude-opus-4-1-20250805@anthropic,gpt-5-codex@openai,444,444,0.3514,0.4144,0.063,29.4212,22.3559,7.0653,0.0,0.0015,7.1028
terminus-2,gpt-5.1-codex@openai,openai/gpt-oss-120b@together_ai,445,925,0.3685,0.1924,0.1761,31.2067,29.6605,1.5462,0.1243,0.0891,6.8812
terminus-2,gpt-5.1-codex@openai,grok-4-0709@xai,445,436,0.3685,0.2362,0.1323,31.2067,26.6537,4.553,0.082,0.0083,6.8105
terminus-2,gpt-5.1@openai,minimax-m2.5@Minimax,445,445,0.4764,0.4225,0.0539,38.0944,33.8584,4.236,0.0422,0.0604,6.801
terminus-2,gpt-5-codex@openai,gpt-5.1@openai,437,445,0.4416,0.4764,0.0348,31.7941,38.0944,6.3003,0.0171,0.0029,6.8003
terminus-2,claude-opus-4-1-20250805@anthropic,gpt-5.1@openai,443,445,0.3815,0.4764,0.0949,43.921,38.0944,5.8266,0.0296,0.0081,6.7691
claude-code,claude-haiku-4-5-20251001@anthropic,claude-opus-4-6@anthropic,438,445,0.2763,0.5798,0.3035,33.0982,27.3348,5.7634,0.0091,0.0303,6.7484
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,minimax-m2.1@openai,929,438,0.2411,0.2968,0.0557,44.9709,51.0685,6.0976,0.009,0.0154,6.7076
terminus-2,claude-sonnet-4-5-20250929@anthropic,minimax-m2.1@openai,440,438,0.4318,0.2968,0.135,45.2409,51.0685,5.8276,0.0104,0.0213,6.6201
openhands,gpt-5-mini@openai,grok-4-0709@xai,445,444,0.2921,0.2725,0.0196,41.5213,38.1486,3.3727,0.049,0.0807,6.6152
claude-code,claude-sonnet-4-5-20250929@anthropic,minimax-m2.1@minimax,437,445,0.3959,0.3663,0.0296,30.9908,35.5753,4.5845,0.0478,0.0302,6.5345
terminus-2,gpt-5@openai,minimax-m2.1@openai,438,438,0.3562,0.2968,0.0594,46.3562,51.0685,4.7123,0.0269,0.0383,6.3423
mini-swe-agent,gpt-5@openai,openai/gpt-oss-20b@together_ai,445,888,0.3393,0.0338,0.3055,8.8045,5.0676,3.7369,0.0,0.0992,6.2169
codex,gpt-5-codex@openai,gpt-5@openai,436,439,0.4427,0.4943,0.0516,10.8394,15.7472,4.9078,0.0327,0.0183,6.1828
claude-code,claude-opus-4-6@anthropic,claude-sonnet-4-5-20250929@anthropic,445,437,0.5798,0.3959,0.1839,27.3348,30.9908,3.656,0.0397,0.0595,6.136
terminus-2,gemini-2.5-pro@gemini,grok-4-0709@xai,442,436,0.3281,0.2362,0.0919,30.6086,26.6537,3.9549,0.0315,0.0552,6.1224
terminus-2,grok-4-0709@xai,openai/gpt-oss-120b@together_ai,436,925,0.2362,0.1924,0.0438,26.6537,29.6605,3.0068,0.0423,0.0808,6.0843
terminus-2,gemini-2.5-pro@gemini,gemini-3-flash-preview@gemini,442,445,0.3281,0.5169,0.1888,30.6086,34.7506,4.142,0.0088,0.0688,6.082
terminus-2,gpt-5-mini@openai,moonshotai/Kimi-K2-Thinking@together_ai,438,892,0.2443,0.3587,0.1144,62.9155,60.7377,2.1778,0.1009,0.0552,6.0803
terminus-2,gemini-3-pro-preview@gemini,minimax-m2.5@Minimax,445,445,0.5685,0.4225,0.146,30.209,33.8584,3.6494,0.0545,0.0406,6.0269
terminus-2,gemini-3-pro-preview@gemini,glm-5@z-ai,445,442,0.5685,0.5226,0.0459,30.209,34.7489,4.5399,0.0407,0.0164,5.9674
terminus-2,gpt-5.2@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,444,923,0.5405,0.2795,0.261,47.5766,42.5255,5.0511,0.0134,0.0224,5.9461
terminus-2,claude-opus-4-6@anthropic,gemini-3-flash-preview@gemini,445,445,0.6292,0.5169,0.1123,31.3438,34.7506,3.4068,0.0457,0.0491,5.7768
terminus-2,grok-4-0709@xai,grok-code-fast-1@xai,436,445,0.2362,0.1416,0.0946,26.6537,23.209,3.4447,0.0313,0.0567,5.6447
terminus-2,gemini-3-flash-preview@gemini,gemini-3-pro-preview@gemini,445,445,0.5169,0.5685,0.0516,34.7506,30.209,4.5416,0.0275,0.0147,5.5966
terminus-2,gemini-3-pro-preview@gemini,openai/gpt-oss-120b@together_ai,445,925,0.5685,0.1924,0.3761,30.209,29.6605,0.5485,0.0925,0.1091,5.5885
claude-code,claude-haiku-4-5-20251001@anthropic,claude-opus-4-1-20250805@anthropic,438,437,0.2763,0.3478,0.0715,33.0982,31.4897,1.6085,0.0837,0.0745,5.5635
